price_chf,members,minutes_per_member,vat_percent,hourly_chf,variable_ai_allowance_chf,infrastructure_chf,fixed_hours,acquisition_chf,fees_per_member_chf,contribution_per_member_chf,gross_revenue_chf,before_owner_time_chf,after_owner_time_chf,break_even_members,monthly_owner_hours
20,20,10,0,45,1,50,8,200,1.02,10.48,400,109.6,-400.4,59,11.3333
20,20,10,8.1,45,1,50,8,200,1.02,8.9814,400,79.6278,-430.3722,68,11.3333
20,20,30,0,45,1,50,8,200,1.02,-4.52,400,109.6,-700.4,not_reachable,18
20,20,30,8.1,45,1,50,8,200,1.02,-6.0186,400,79.6278,-730.3722,not_reachable,18
20,50,10,0,45,1,50,8,200,1.02,10.48,1000,649,-86,59,16.3333
20,50,10,8.1,45,1,50,8,200,1.02,8.9814,1000,574.0694,-160.9306,68,16.3333
20,50,30,0,45,1,50,8,200,1.02,-4.52,1000,649,-836,not_reachable,33
20,50,30,8.1,45,1,50,8,200,1.02,-6.0186,1000,574.0694,-910.9306,not_reachable,33
20,100,10,0,45,1,50,8,200,1.02,10.48,2000,1548,438,59,24.6667
20,100,10,8.1,45,1,50,8,200,1.02,8.9814,2000,1398.1388,288.1388,68,24.6667
20,100,30,0,45,1,50,8,200,1.02,-4.52,2000,1548,-1062,not_reachable,58
20,100,30,8.1,45,1,50,8,200,1.02,-6.0186,2000,1398.1388,-1211.8612,not_reachable,58
29,20,10,0,45,1,50,8,200,1.344,19.156,580,283.12,-226.88,32,11.3333
29,20,10,8.1,45,1,50,8,200,1.344,16.983,580,239.6602,-270.3398,36,11.3333
29,20,30,0,45,1,50,8,200,1.344,4.156,580,283.12,-526.88,147,18
29,20,30,8.1,45,1,50,8,200,1.344,1.983,580,239.6602,-570.3398,308,18
29,50,10,0,45,1,50,8,200,1.344,19.156,1450,1082.8,347.8,32,16.3333
29,50,10,8.1,45,1,50,8,200,1.344,16.983,1450,974.1506,239.1506,36,16.3333
29,50,30,0,45,1,50,8,200,1.344,4.156,1450,1082.8,-402.2,147,33
29,50,30,8.1,45,1,50,8,200,1.344,1.983,1450,974.1506,-510.8494,308,33
29,100,10,0,45,1,50,8,200,1.344,19.156,2900,2415.6,1305.6,32,24.6667
29,100,10,8.1,45,1,50,8,200,1.344,16.983,2900,2198.3012,1088.3012,36,24.6667
29,100,30,0,45,1,50,8,200,1.344,4.156,2900,2415.6,-194.4,147,58
29,100,30,8.1,45,1,50,8,200,1.344,1.983,2900,2198.3012,-411.6988,308,58
39,20,10,0,45,1,50,8,200,1.704,28.796,780,475.92,-34.08,22,11.3333
39,20,10,8.1,45,1,50,8,200,1.704,25.8737,780,417.4741,-92.5259,24,11.3333
39,20,30,0,45,1,50,8,200,1.704,13.796,780,475.92,-334.08,45,18
39,20,30,8.1,45,1,50,8,200,1.704,10.8737,780,417.4741,-392.5259,57,18
39,50,10,0,45,1,50,8,200,1.704,28.796,1950,1564.8,829.8,22,16.3333
39,50,10,8.1,45,1,50,8,200,1.704,25.8737,1950,1418.6853,683.6853,24,16.3333
39,50,30,0,45,1,50,8,200,1.704,13.796,1950,1564.8,79.8,45,33
39,50,30,8.1,45,1,50,8,200,1.704,10.8737,1950,1418.6853,-66.3147,57,33
39,100,10,0,45,1,50,8,200,1.704,28.796,3900,3379.6,2269.6,22,24.6667
39,100,10,8.1,45,1,50,8,200,1.704,25.8737,3900,3087.3706,1977.3706,24,24.6667
39,100,30,0,45,1,50,8,200,1.704,13.796,3900,3379.6,769.6,45,58
39,100,30,8.1,45,1,50,8,200,1.704,10.8737,3900,3087.3706,477.3706,57,58
49,20,10,0,45,1,50,8,200,2.064,38.436,980,668.72,158.72,16,11.3333
49,20,10,8.1,45,1,50,8,200,2.064,34.7644,980,595.288,85.288,18,11.3333
49,20,30,0,45,1,50,8,200,2.064,23.436,980,668.72,-141.28,27,18
49,20,30,8.1,45,1,50,8,200,2.064,19.7644,980,595.288,-214.712,31,18
49,50,10,0,45,1,50,8,200,2.064,38.436,2450,2046.8,1311.8,16,16.3333
49,50,10,8.1,45,1,50,8,200,2.064,34.7644,2450,1863.22,1128.22,18,16.3333
49,50,30,0,45,1,50,8,200,2.064,23.436,2450,2046.8,561.8,27,33
49,50,30,8.1,45,1,50,8,200,2.064,19.7644,2450,1863.22,378.22,31,33
49,100,10,0,45,1,50,8,200,2.064,38.436,4900,4343.6,3233.6,16,24.6667
49,100,10,8.1,45,1,50,8,200,2.064,34.7644,4900,3976.44,2866.44,18,24.6667
49,100,30,0,45,1,50,8,200,2.064,23.436,4900,4343.6,1733.6,27,58
